Title,Image,Address,Area,Distance,Dist_to_Airport,Score,Rating,add_info,add_info2,add_info3,add_info4,Price,Description,Room
The Laurel Inn part of JdV by Hyatt,https://exp.cdn-hotels.com/hotels/1000000/530000/521600/521553/b65c6d16_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,444 Presidio Ave San Francisco 94115 CA,Presidio Heights,2.1 miles to city center,12 miles to San Francisco International Airport (SFO),8.8,Fabulous,Parking available,Pet-friendly,Gym,Restaurant,$314 ,3-star hotel with restaurant near Presidio of San Francisco ,Room 2 Double Beds
Washington Square Inn,https://exp.cdn-hotels.com/hotels/2000000/1050000/1044900/1044898/dbcb50b9_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1660 Stockton Street San Francisco 94133 CA,Telegraph Hill,1.0 mile to city center,13 miles to San Francisco International Airport (SFO),8.2,Very Good,,,,,$143 ,3-star guesthouse within walking distance of Coit Tower,Standard Double Room Private Bathroom (Petite)
Kensington Park Hotel,https://exp.cdn-hotels.com/hotels/1000000/20000/17700/17616/1d5dee38_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,450 Post St San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),8.4,Very Good,Parking available,Restaurant,Bar,Connecting rooms available,$161 ,Boutique hotel with restaurant near Moscone Convention Center ,Deluxe Room 1 King Bed
The Millwood - A Boutique Hotel,https://exp.cdn-hotels.com/hotels/1000000/190000/181200/181120/141c3733_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1375 El Camino Real Millbrae 94030 CA,Millbrae,12 miles to city center,0.8 miles to San Francisco International Airport (SFO),8.6,Fabulous,Free parking,Gym,Free breakfast,Bathtub,$139 ,3-star hotel in Millbrae,Deluxe Single Room 1 King Bed
Airport Inn,https://exp.cdn-hotels.com/hotels/12000000/11980000/11974700/11974670/dcc07b30_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,751 Airport Boulevard South San Francisco 94080 CA,Downtown South San Francisco,8.8 miles to city center,3.2 miles to San Francisco International Airport (SFO),8.8,Fabulous,Free parking,Bathtub,,,$90 ,No-frills motel in Downtown South San Francisco,Room 1 King Bed
Travelers Inn,https://exp.cdn-hotels.com/hotels/2000000/1400000/1393200/1393191/41a6f9dc_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,100 Hickey Boulevard South San Francisco 94080 CA,South San Francisco,8.7 miles to city center,4.9 miles to San Francisco International Airport (SFO),,Good,Free parking,Internet access,,,$94 ,No-frills motel in South San Francisco,Standard Room 1 Queen Bed
Hilton San Francisco Financial District,https://exp.cdn-hotels.com/hotels/1000000/10000/4400/4302/44330cd1_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,750 Kearny St San Francisco 94108 CA,Financial District,0.6 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Parking available,Pet-friendly,Gym,Restaurant,$209 ,4-star hotel with restaurant near Ferry Building ,Room 2 Double Beds
SF Plaza Hotel,https://exp.cdn-hotels.com/hotels/1000000/10000/4200/4105/970227f7_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,510 Bush Street San Francisco 94108 CA,Chinatown,0.3 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Airport transfer,Bathtub,,,$88 ,Within easy reach of 555 California Street,Premium Room 1 Queen Bed
Holiday Inn Golden Gateway an IHG Hotel,https://exp.cdn-hotels.com/hotels/1000000/20000/10600/10538/34653896_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1500 Van Ness Ave San Francisco 94109 CA,Nob Hill,0.8 miles to city center,12 miles to San Francisco International Airport (SFO),8.4,Very Good,Pool,Parking available,Gym,Bar,$159 ,3.5-star hotel with outdoor pool near Van Ness Avenue ,Standard Room
InterContinental San Francisco an IHG Hotel,https://exp.cdn-hotels.com/hotels/2000000/1770000/1766700/1766605/52e90688_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,888 Howard Street San Francisco 94103 CA,South of Market,0.4 miles to city center,12 miles to San Francisco International Airport (SFO),8.4,Very Good,Pool,Parking available,Pet-friendly,Gym,$269 ,4-star hotel with indoor pool near Moscone Convention Center ,Standard Room
The Marker San Francisco,https://exp.cdn-hotels.com/hotels/1000000/20000/15800/15769/4b9fffef_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,501 Geary St San Francisco 94102 CA,Union Square,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),8.2,Very Good,Pet-friendly,Gym,Restaurant,Bar,$219 ,4-star hotel with restaurant near SHN Curran Theatre ,Suite Accessible (Urban)
Presidio Parkway Inn,https://exp.cdn-hotels.com/hotels/4000000/3090000/3081000/3080954/04241158_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2361 Lombard Street San Francisco 94123 CA,Cow Hollow,1.9 miles to city center,13 miles to San Francisco International Airport (SFO),,Good,Free parking,Airport transfer,Bathtub,,$79 ,City-center motel within easy reach of Lombard Street,Standard Room 1 King Bed
Pacific Heights Inn,https://exp.cdn-hotels.com/hotels/10000000/9400000/9394500/9394413/a590824d_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1555 Union St. San Francisco 94123 CA,Cow Hollow,1.2 miles to city center,13 miles to San Francisco International Airport (SFO),,Good,Free parking,,,,$110 ,City-center motel within easy reach of Lombard Street,Room 1 Queen Bed Non Smoking Private Bathroom
Hotel Del Sol,https://exp.cdn-hotels.com/hotels/1000000/120000/119000/118976/6ab53ce1_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,3100 Webster St San Francisco 94123 CA,Cow Hollow,1.6 miles to city center,13 miles to San Francisco International Airport (SFO),8.4,Very Good,Pool,Parking available,Pet-friendly,Free breakfast,$129 ,Family-friendly hotel with outdoor pool near Mexican Museum ,Standard Room 1 Queen Bed
Hotel Stratford,https://exp.cdn-hotels.com/hotels/1000000/130000/120300/120269/ca61f006_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,242 Powell St San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),8,Very Good,,,,,$139 ,City-center hotel within easy reach of Moscone Convention Center,Economy Room
The Urban,https://exp.cdn-hotels.com/hotels/16000000/15750000/15740600/15740559/b34aeee5_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,507 Bush Street San Francisco 94108 CA,Union Square,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Bathtub,,,,$74 ,City-center hotel within easy reach of 555 California Street,Single Room Shared Bathroom
Ramada by Wyndham San Bruno SFO Airport,https://exp.cdn-hotels.com/hotels/1000000/910000/902100/902027/b663ab4e_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,500 El Camino Real San Bruno 94066 CA,San Bruno,11 miles to city center,1.4 miles to San Francisco International Airport (SFO),,Good,Free parking,Airport transfer,Gym,Bathtub,$89 ,San Bruno suburban guestrooms with comfy beds,Standard Room 1 King Bed
Regency Inn SFO Airport,https://exp.cdn-hotels.com/hotels/1000000/190000/187300/187217/7803c710_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,411 San Bruno Ave. East San Bruno 94066 CA,San Bruno,11 miles to city center,1.6 miles to San Francisco International Airport (SFO),8,Very Good,Free parking,Pet-friendly,Bathtub,,$110 ,Within easy reach of The Shops at Tanforan,Deluxe Room 1 King Bed (Upstairs room stair access only)
BridgePoint Inn Daly City,https://exp.cdn-hotels.com/hotels/1000000/30000/26800/26747/01adb455_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,3255 Geneva Ave Daly City 94014 CA,Daly City,5.7 miles to city center,6.2 miles to San Francisco International Airport (SFO),,Good,Free parking,Bathtub,,,$103 ,Within easy reach of Cow Palace,Room 1 Queen Bed Non Smoking
Becks Motor Lodge,https://exp.cdn-hotels.com/hotels/3000000/2520000/2519400/2519386/b26bfee3_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2222 Market Street San Francisco 94114 CA,Duboce Triangle,2.0 miles to city center,11 miles to San Francisco International Airport (SFO),8.8,Fabulous,Free parking,,,,$179 ,3-star hotel convenient to Castro Street ,Superior Room 1 Queen Bed
Chelsea Inn,https://exp.cdn-hotels.com/hotels/2000000/1240000/1236300/1236260/8603a4ba_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2095 Lombard Street San Francisco 94123 CA,Cow Hollow,1.7 miles to city center,13 miles to San Francisco International Airport (SFO),8.6,Fabulous,Free parking,Bathtub,Internet access,,$131 ,Victorian hotel within easy reach of Fort Mason,Standard Double Room 2 Double Beds
Mission Inn,https://exp.cdn-hotels.com/hotels/1000000/10000/7500/7474/45561978_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,5630 Mission St San Francisco 94112 CA,Crocker-Amazon,5.7 miles to city center,7.3 miles to San Francisco International Airport (SFO),,Good,Free parking,Free breakfast,Bathtub,Connecting rooms available,$99 ,No-frills hotel in Outer Mission,Deluxe Room 1 King Bed
Greenwich Inn,https://exp.cdn-hotels.com/hotels/1000000/20000/15400/15381/1df75053_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,3201 Steiner St San Francisco 94123 CA,Cow Hollow,1.8 miles to city center,13 miles to San Francisco International Airport (SFO),,Good,Free parking,Bathtub,,,$109 ,Convenient to Presidio of San Francisco,Premium Room 2 Double Beds
Embassy Suites by Hilton San Francisco Airport Waterfront,https://exp.cdn-hotels.com/hotels/1000000/50000/42400/42336/3b7feb32_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,150 Anza Blvd Burlingame 94010 CA,Burlingame,14 miles to city center,2.8 miles to San Francisco International Airport (SFO),,Good,Parking available,Pet-friendly,Restaurant,Bar,$164 ,Bayfront hotel in Burlingame with restaurant and bar/lounge,Two Double and One Sofa Bed Non-Smoking
The Westin St. Francis San Francisco on Union Square,https://exp.cdn-hotels.com/hotels/1000000/30000/26800/26760/8e214eec_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,335 Powell Street San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),8.8,Fabulous,Parking available,Pet-friendly,Gym,Restaurant,$269 ,Luxury hotel with restaurant near SHN Curran Theatre ,Traditional Room 1 Queen Bed Non Smoking No View (Landmark Building)
Monte Cristo Bed and Breakfast,https://exp.cdn-hotels.com/hotels/3000000/2030000/2025000/2024980/5ad9e439_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,600 Presidio Avenue San Francisco 94115 CA,Lower Pacific Heights,2.1 miles to city center,12 miles to San Francisco International Airport (SFO),9.6,Exceptional,Airport transfer,Airport transfer,Free breakfast,Bathtub,$300 ,Victorian B&B within easy reach of Palace of Fine Arts,Deluxe Cal King
White Swan Inn,https://exp.cdn-hotels.com/hotels/1000000/30000/25100/25027/fe7122a9_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,845 Bush St San Francisco 94108 CA,Lower Nob Hill,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),9.2,Superb,Free breakfast,Internet access,,,$159 ,City-center hotel within easy reach of SF Masonic Auditorium,Deluxe Room 1 Queen Bed Fireplace
The Metro Hotel,https://exp.cdn-hotels.com/hotels/70000000/69690000/69680600/69680556/c195049c_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,319 Divisadero St San Francisco 94117 CA,Lower Haight,1.9 miles to city center,11 miles to San Francisco International Airport (SFO),9.2,Superb,Bathtub,Bathtub,,,$244 ,Within easy reach of Alamo Square,
Petite Auberge,https://exp.cdn-hotels.com/hotels/1000000/30000/25000/24970/038ca5d5_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,863 Bush St San Francisco 94108 CA,Lower Nob Hill,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),8.6,Fabulous,Free breakfast,Internet access,,,$119 ,City-center hotel within easy reach of SF Masonic Auditorium,Standard Room 1 Queen Bed
Comfort Inn by the Bay,https://exp.cdn-hotels.com/hotels/1000000/10000/6000/5984/45542e79_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2775 Van Ness Ave San Francisco 94109 CA,Cow Hollow,1.3 miles to city center,13 miles to San Francisco International Airport (SFO),8,Very Good,Parking available,Free breakfast,Bathtub,Internet access,$149 ,Convenient to Lombard Street,Traditional Room 1 Queen Bed No View
Marriott Vacation Club Pulse San Francisco,https://exp.cdn-hotels.com/hotels/38000000/37390000/37382500/37382494/aa2bdb79_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2620 Jones St San Francisco 94133 CA,Fisherman's Wharf,1.3 miles to city center,13 miles to San Francisco International Airport (SFO),9.2,Superb,Parking available,Gym,Bathtub,Connecting rooms available,$189 ,3-star hotel with 24-hour fitness near Ghirardelli Square ,Room 1 King Bed Non Smoking No View
Alpha Inn & Suites,https://exp.cdn-hotels.com/hotels/1000000/20000/14700/14669/39790438_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2505 Lombard Steet San Francisco 94123 CA,Cow Hollow,2.1 miles to city center,13 miles to San Francisco International Airport (SFO),,Good,Free parking,Bathtub,Internet access,,$71 ,Within easy reach of Presidio of San Francisco,Standard Room 1 Queen Bed
Travelodge by Wyndham by Fisherman's Wharf,https://exp.cdn-hotels.com/hotels/1000000/20000/10600/10512/e214dad3_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1201 Columbus Ave San Francisco 94133 CA,Russian Hill,1.3 miles to city center,13 miles to San Francisco International Airport (SFO),,Good,Parking available,Airport transfer,Bathtub,Connecting rooms available,$109 ,Art Deco motel within walking distance of Lombard Street,Standard Room 1 King Bed
Hilton Garden Inn San Francisco Arpt North,https://exp.cdn-hotels.com/hotels/1000000/300000/296800/296720/35733ab7_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,670 Gateway Blvd South San Francisco 94080 CA,The East Side,9.0 miles to city center,2.9 miles to San Francisco International Airport (SFO),8.4,Very Good,Parking available,Pet-friendly,Gym,Bathtub,$139 ,3-star hotel convenient to San Francisco Baking Institute ,Room 2 Queen Beds
Palihotel San Francisco,https://exp.cdn-hotels.com/hotels/1000000/50000/49800/49777/4f0abf1d_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,417 Stockton St San Francisco 94108 CA,Union Square,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),8.2,Very Good,Parking available,Pet-friendly,Restaurant,Connecting rooms available,$175 ,Boutique hotel with restaurant near Moscone Convention Center ,Standard Room 1 Queen Bed (The Queen)
Inn on Folsom,https://exp.cdn-hotels.com/hotels/8000000/7460000/7451800/7451708/2e2eeeaa_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1188 Folsom St. San Francisco 94103 CA,South of Market,0.8 miles to city center,11 miles to San Francisco International Airport (SFO),,Good,Airport transfer,,,,$99 ,Convenient to Orpheum Theater,Standard Room 1 Queen Bed Shared Bathroom
Inn at Golden Gate,https://exp.cdn-hotels.com/hotels/1000000/900000/891300/891239/c4380835_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2707 Lombard St San Francisco 94123 CA,Marina District,2.2 miles to city center,13 miles to San Francisco International Airport (SFO),,Good,Free parking,Bathtub,,,$114 ,City-center motel within easy reach of Presidio of San Francisco,Room 1 Queen Bed Non Smoking
Bayhill Inn,https://exp.cdn-hotels.com/hotels/4000000/3490000/3489500/3489493/1047dce2_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,950 El Camino Real San Bruno 94066 CA,San Bruno,11 miles to city center,2.0 miles to San Francisco International Airport (SFO),8.2,Very Good,Free parking,Bathtub,,,$99 ,No-frills hotel in San Bruno,Room 1 King Bed Non Smoking
Hampton Inn San Francisco Airport,https://exp.cdn-hotels.com/hotels/1000000/440000/437100/437098/5497dfff_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,300 Gateway Blvd South San Francisco 94080 CA,The East Side,9.0 miles to city center,2.9 miles to San Francisco International Airport (SFO),8.6,Fabulous,Parking available,Gym,Free breakfast,Bathtub,$119 ,No-frills hotel in The East Side,Standard King
The Hotel Castro,https://exp.cdn-hotels.com/hotels/75000000/74760000/74757800/74757739/0e06b41a_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,4230 18th St San Francisco 94114 CA,Castro District,2.4 miles to city center,10 miles to San Francisco International Airport (SFO),9.6,Exceptional,,,,,$270 ,Convenient to Castro Street,
Four Points by Sheraton Hotel & Suites San Francisco Airport,https://exp.cdn-hotels.com/hotels/1000000/800000/790600/790579/ba4367de_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,264 South Airport Blvd. South San Francisco 94080 CA,South San Francisco,9.7 miles to city center,2.4 miles to San Francisco International Airport (SFO),8,Very Good,Parking available,Pet-friendly,Gym,Bathtub,$144 ,South San Francisco suburban guestrooms with memory foam beds,Room 2 Queen Beds Non Smoking
San Francisco Proper Hotel,https://exp.cdn-hotels.com/hotels/19000000/18730000/18723300/18723252/41530c2f_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1100 Market Street San Francisco 94102 CA,Downtown San Francisco,0.5 miles to city center,12 miles to San Francisco International Airport (SFO),8.4,Very Good,Parking available,Pet-friendly,Gym,Restaurant,$349 ,4-star hotel with 3 restaurants near San Francisco City Hall ,Deluxe Room 1 Queen Bed Non Smoking
Sonder at Found Union Square,https://exp.cdn-hotels.com/hotels/71000000/70550000/70545000/70544973/344ef538_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,140 Mason Street San Francisco 94102 CA,Downtown San Francisco,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),9,Superb,Bathtub,,,,$137 ,3.5-star hotel within walking distance of Warfield Theater,
Hampton Inn & Suites San Francisco-Burlingame-Airport South,https://exp.cdn-hotels.com/hotels/1000000/900000/897400/897333/0343ba8c_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1755 Old Bayshore Hwy Burlingame 94010 CA,Burlingame,13 miles to city center,1.3 miles to San Francisco International Airport (SFO),8.6,Fabulous,Free parking,Airport transfer,Gym,Free breakfast,$131 ,3-star hotel in Burlingame,2 QUEEN BEDS NONSMOKING
Days Inn by Wyndham San Francisco S/Oyster Point Airport,https://exp.cdn-hotels.com/hotels/1000000/20000/15200/15135/a23f7fd8_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1113 Airport Blvd South San Francisco 94080 CA,Paradise Valley,8.6 miles to city center,3.3 miles to San Francisco International Airport (SFO),,Good,Parking available,Airport transfer,Free breakfast,Bathtub,$85 ,No-frills hotel in Paradise Valley,Standard Room 1 Queen Bed Accessible
Bay Hotel,https://exp.cdn-hotels.com/hotels/25000000/24400000/24396000/24395944/aefa8dc2_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,128 Jones St San Francisco 94102 CA,Tenderloin,0.4 miles to city center,12 miles to San Francisco International Airport (SFO),,,,,,,$57 ,City-center hotel steps from Warfield Theater ,
Hotel Sunnyside,https://exp.cdn-hotels.com/hotels/36000000/35260000/35256400/35256307/f07653cd_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,135 6th St San Francisco 94103 CA,South of Market,0.5 miles to city center,11 miles to San Francisco International Airport (SFO),,,Airport transfer,Bathtub,,,$53 ,Walking distance from Warfield Theater,
Comfort Inn and Suites San Francisco Airport North,https://exp.cdn-hotels.com/hotels/1000000/30000/20800/20701/8b6642f4_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,121 E Grand Ave South San Francisco 94080 CA,The East Side,9.2 miles to city center,2.8 miles to San Francisco International Airport (SFO),,Good,Parking available,Airport transfer,Free breakfast,Bathtub,$124 ,Suburban hotel in The East Side,Suite 1 King Bed Courtyard View Courtyard Area
The Annex at Hayes Valley,https://exp.cdn-hotels.com/hotels/71000000/70960000/70958800/70958745/157b8709_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,420/422 Hayes Street San Francisco 94102 CA,Hayes Valley,1.1 miles to city center,11 miles to San Francisco International Airport (SFO),,,Bathtub,,,,$87 ,Walking distance from San Francisco City Hall,
Beach Motel,https://exp.cdn-hotels.com/hotels/2000000/1200000/1190600/1190600/d959947a_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,4211 Judah Street San Francisco 94122 CA,Outer Sunset,5.7 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Free parking,Bar,Bathtub,,$89 ,Hotel with bar/lounge near Golden Gate Park ,
City Center Inn & Suites,https://exp.cdn-hotels.com/hotels/1000000/20000/15100/15088/880d0156_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,240 7th Street San Francisco 94103 CA,South of Market,0.7 miles to city center,11 miles to San Francisco International Airport (SFO),,Good,Free parking,,,,$429 ,City-center motel within easy reach of Orpheum Theater,Deluxe Room 1 Queen Bed Main building - Newly Renovated
El Capitan Hotel,https://exp.cdn-hotels.com/hotels/7000000/6330000/6326400/6326351/517bc7a0_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2361 Mission St San Francisco 94110 CA,Inner Mission,2.0 miles to city center,10 miles to San Francisco International Airport (SFO),,,Airport transfer,,,,$55 ,City-center hotel within easy reach of Mission Dolores Park,Standard Room 1 Double Bed Shared Bathroom
Hilton San Francisco Union Square,https://exp.cdn-hotels.com/hotels/1000000/30000/25700/25622/a3bb8cd5_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,333 O'Farrell St. San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),8,Very Good,Pool,Parking available,Pet-friendly,Gym,$262 ,4-star hotel with 2 restaurants near Westfield San Francisco Centre ,1 Queen Bed
Embassy Suites San Francisco Airport - South San Francisco,https://exp.cdn-hotels.com/hotels/1000000/10000/3000/2981/adba33f7_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,250 Gateway Blvd South San Francisco 94080 CA,The East Side,9.1 miles to city center,2.9 miles to San Francisco International Airport (SFO),,Good,Parking available,Pet-friendly,Restaurant,Bar,$164 ,Suburban hotel in The East Side with restaurant and bar/lounge,Room 1 King Bed Non Smoking
Hotel des Arts,https://exp.cdn-hotels.com/hotels/1000000/530000/522700/522603/d35b09ce_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,447 Bush Street San Francisco 94108 CA,Chinatown,0.3 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,,,,,$123 ,Convenient to 555 California Street,Double Room Ensuite (Deluxe)
Courtyard by Marriott San Francisco Downtown/Van Ness Ave.,https://exp.cdn-hotels.com/hotels/1000000/920000/919200/919198/9129e81e_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1050 Van Ness Avenue San Francisco 94109 CA,Downtown San Francisco,0.7 miles to city center,12 miles to San Francisco International Airport (SFO),8.6,Fabulous,Parking available,Gym,Restaurant,Bathtub,$199 ,3-star hotel with restaurant near Moscone Convention Center ,Room 1 King Bed Non Smoking
Rodeway Inn & Suites San Francisco-Great Highway,https://exp.cdn-hotels.com/hotels/1000000/900000/893900/893834/4133b67c_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1234 Great Highway San Francisco 94122 CA,Outer Sunset,5.8 miles to city center,12 miles to San Francisco International Airport (SFO),,,Free parking,Bathtub,,,$81 ,Convenient to Golden Gate Park,Standard Room 1 King Bed Non Smoking
Casa Loma Hotel,https://exp.cdn-hotels.com/hotels/7000000/6650000/6649300/6649235/d79d2171_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,610 Fillmore St San Francisco 94117 CA,Western Addition,1.5 miles to city center,11 miles to San Francisco International Airport (SFO),,Good,,,,,$62 ,City-center hotel within walking distance of Painted Ladies,Standard Room 1 Queen Bed Shared Bathroom
Home2 Suites by Hilton San Francisco Airport North CA,https://exp.cdn-hotels.com/hotels/32000000/31900000/31891900/31891814/2e25f797_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,550 Gateway Blvd South San Francisco 94080 CA,The East Side,9.0 miles to city center,2.9 miles to San Francisco International Airport (SFO),8.8,Fabulous,Parking available,Pet-friendly,Gym,Free breakfast,$164 ,Comfortable South San Francisco guestrooms with kitchenettes,Studio Suite 1 King Bed Non Smoking
The Clancy Autograph Collection,https://exp.cdn-hotels.com/hotels/1000000/700000/693700/693658/255d7411_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,299 2nd St San Francisco 94105 CA,South Beach,0.6 miles to city center,12 miles to San Francisco International Airport (SFO),9,Superb,Parking available,Pet-friendly,Gym,Restaurant,$309 ,4-star hotel with restaurant near Moscone Convention Center ,Room 1 King Bed Non Smoking
La Monarca by Kasa,https://exp.cdn-hotels.com/hotels/56000000/55100000/55099200/55099186/7dccb74c_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,717 Sutter Street San Francisco 94109 CA,Theater District,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Pet-friendly,Bathtub,,,$97 ,City-center hotel within easy reach of SHN Curran Theatre,
Palace Hotel a Luxury Collection Hotel San Francisco,https://exp.cdn-hotels.com/hotels/1000000/30000/27300/27274/70466348_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2 New Montgomery St San Francisco 94105 CA,Financial District,0.4 miles to city center,12 miles to San Francisco International Airport (SFO),8.8,Fabulous,Pool,Parking available,Pet-friendly,Gym,$379 ,Luxury hotel with 2 restaurants near San Francisco Museum of Modern Art ,Superior Room 1 King Bed Non Smoking
Hilton San Francisco Airport Bayfront,https://exp.cdn-hotels.com/hotels/1000000/20000/12400/12345/5cf52b38_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,600 Airport Blvd Burlingame 94010 CA,Burlingame,14 miles to city center,3.1 miles to San Francisco International Airport (SFO),8.2,Very Good,Pool,Parking available,Pet-friendly,Airport transfer,$140 ,Bayfront hotel with indoor pool near Poplar Creek Golf Course ,King Deluxe - Resort Fee Waived
San Francisco Marriott Union Square,https://exp.cdn-hotels.com/hotels/1000000/30000/24500/24468/76fb9b93_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,480 Sutter Street San Francisco 94108 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),8.8,Fabulous,Parking available,Gym,Restaurant,Bar,$259 ,4-star hotel with restaurant near Lombard Street ,Deluxe Room 2 Double Beds Non Smoking
Ram's Hotel,https://exp.cdn-hotels.com/hotels/13000000/12520000/12514700/12514694/09d741ff_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,80 9th St San Francisco 94103 CA,South of Market,0.8 miles to city center,11 miles to San Francisco International Airport (SFO),,Good,Free breakfast,,,,$135 ,Walking distance from Orpheum Theater,
Marina Motel,https://exp.cdn-hotels.com/hotels/1000000/50000/41100/41063/6e87bb2f_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2576 Lombard Street San Francisco 94123 CA,Marina District,2.1 miles to city center,13 miles to San Francisco International Airport (SFO),8.6,Fabulous,Free parking,Airport transfer,Connecting rooms available,,$144 ,Convenient to Presidio of San Francisco,Room 2 Double Beds Accessible
Winsor Hotel,https://exp.cdn-hotels.com/hotels/8000000/7240000/7237700/7237605/2e34939d_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,20 6th Street San Francisco 94103 CA,Mid-Market,0.4 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,,,,,$48 ,Located steps from Warfield Theater,
Hotel V,https://exp.cdn-hotels.com/hotels/1000000/50000/40600/40571/da06a549_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,222 S Airport Blvd South San Francisco 94080 CA,South San Francisco,9.6 miles to city center,2.4 miles to San Francisco International Airport (SFO),,Good,Free parking,Bathtub,,,$66 ,No-frills hotel in South San Francisco,Standard Room 1 King Bed
